Country;Month;Year;region;New_cases;New_deaths;Cumulative_cases;Cumulative_deaths
Albania;7;2020;Europe & Central Asia;2731;96;5197;154
Albania;8;2020;Europe & Central Asia;4183;126;9380;280
Albania;9;2020;Europe & Central Asia;4138;104;13518;384
Albania;10;2020;Europe & Central Asia;7116;118;20634;502
Albania;11;2020;Europe & Central Asia;16991;296;37625;798
Albania;12;2020;Europe & Central Asia;20102;376;57727;1174
Albania;1;2021;Europe & Central Asia;19524;195;77251;1369
Albania;2;2021;Europe & Central Asia;28964;406;106215;1775
Albania;3;2021;Europe & Central Asia;18508;452;124723;2227
Albania;4;2021;Europe & Central Asia;6254;162;130977;2389
Albania;5;2021;Europe & Central Asia;1332;61;132309;2450
Albania;6;2021;Europe & Central Asia;205;6;132514;2456
Albania;7;2021;Europe & Central Asia;522;1;133036;2457
Albania;8;2021;Europe & Central Asia;12297;38;145333;2495
Albania;9;2021;Europe & Central Asia;24129;190;169462;2685
Albania;10;2021;Europe & Central Asia;15425;231;184887;2916
Albania;11;2021;Europe & Central Asia;14863;176;199750;3092
Albania;12;2021;Europe & Central Asia;9766;123;209516;3215
Albania;1;2022;Europe & Central Asia;48505;127;258021;3342
Albania;2;2022;Europe & Central Asia;13506;122;271527;3464
Albania;3;2022;Europe & Central Asia;2081;28;273608;3492
Albania;4;2022;Europe & Central Asia;1394;4;275002;3496
Albania;5;2022;Europe & Central Asia;1099;1;276101;3497
Albania;6;2022;Europe & Central Asia;3616;2;279717;3499
Albania;7;2022;Europe & Central Asia;30645;42;310362;3541
Albania;8;2022;Europe & Central Asia;17509;41;327871;3582
Albania;9;2022;Europe & Central Asia;3156;7;331027;3589
Albania;10;2022;Europe & Central Asia;773;4;331800;3593
Albania;11;2022;Europe & Central Asia;128;0;331928;3593
Algeria;1;2020;Middle East & North Africa;0;0;0;0
Algeria;2;2020;Middle East & North Africa;1;0;1;0
Algeria;3;2020;Middle East & North Africa;583;35;584;35
Algeria;4;2020;Middle East & North Africa;3264;406;3848;441
Algeria;5;2020;Middle East & North Africa;5419;202;9267;643
Algeria;6;2020;Middle East & North Africa;4304;250;13571;893
Algeria;7;2020;Middle East & North Africa;16260;295;29831;1188
Algeria;8;2020;Middle East & North Africa;14315;311;44146;1499
Algeria;9;2020;Middle East & North Africa;7222;225;51368;1724
Algeria;10;2020;Middle East & North Africa;6283;232;57651;1956
Algeria;11;2020;Middle East & North Africa;24570;454;82221;2410
Algeria;12;2020;Middle East & North Africa;17090;341;99311;2751
Algeria;1;2021;Middle East & North Africa;7811;137;107122;2888
Algeria;2;2021;Middle East & North Africa;5838;91;112960;2979
Algeria;3;2021;Middle East & North Africa;4101;110;117061;3089
Algeria;4;2021;Middle East & North Africa;4805;155;121866;3244
Algeria;5;2021;Middle East & North Africa;6859;221;128725;3465
Algeria;6;2021;Middle East & North Africa;10504;243;139229;3708
Algeria;7;2021;Middle East & North Africa;30960;511;170189;4219
Algeria;8;2021;Middle East & North Africa;25385;1021;195574;5240
Algeria;9;2021;Middle East & North Africa;7624;565;203198;5805
Algeria;10;2021;Middle East & North Africa;3160;113;206358;5918
Algeria;11;2021;Middle East & North Africa;3986;146;210344;6064
Algeria;12;2021;Middle East & North Africa;7693;207;218037;6271
Algeria;1;2022;Middle East & North Africa;32737;295;250774;6566
Algeria;2;2022;Middle East & North Africa;14081;265;264855;6831
Algeria;3;2022;Middle East & North Africa;807;43;265662;6874
Algeria;4;2022;Middle East & North Africa;117;1;265779;6875
Algeria;5;2022;Middle East & North Africa;98;0;265877;6875
Algeria;6;2022;Middle East & North Africa;196;0;266073;6875
Algeria;7;2022;Middle East & North Africa;1301;1;267374;6876
Algeria;8;2022;Middle East & North Africa;2898;2;270272;6878
Algeria;9;2022;Middle East & North Africa;402;1;270674;6879
Algeria;10;2022;Middle East & North Africa;164;2;270838;6881
Algeria;11;2022;Middle East & North Africa;9;0;270847;6881
American Samoa;1;2020;East Asia & Pacific;0;0;0;0
American Samoa;2;2020;East Asia & Pacific;0;0;0;0
American Samoa;3;2020;East Asia & Pacific;0;0;0;0
American Samoa;4;2020;East Asia & Pacific;0;0;0;0
American Samoa;5;2020;East Asia & Pacific;0;0;0;0
American Samoa;6;2020;East Asia & Pacific;0;0;0;0
American Samoa;7;2020;East Asia & Pacific;0;0;0;0
American Samoa;8;2020;East Asia & Pacific;0;0;0;0
American Samoa;9;2020;East Asia & Pacific;0;0;0;0
American Samoa;10;2020;East Asia & Pacific;0;0;0;0
American Samoa;11;2020;East Asia & Pacific;0;0;0;0
American Samoa;12;2020;East Asia & Pacific;0;0;0;0
American Samoa;1;2021;East Asia & Pacific;0;0;0;0
American Samoa;2;2021;East Asia & Pacific;0;0;0;0
American Samoa;3;2021;East Asia & Pacific;0;0;0;0
American Samoa;4;2021;East Asia & Pacific;0;0;0;0
American Samoa;5;2021;East Asia & Pacific;0;0;0;0
American Samoa;6;2021;East Asia & Pacific;0;0;0;0
American Samoa;7;2021;East Asia & Pacific;0;0;0;0
American Samoa;8;2021;East Asia & Pacific;0;0;0;0
American Samoa;9;2021;East Asia & Pacific;1;0;1;0
American Samoa;10;2021;East Asia & Pacific;3;0;4;0
American Samoa;11;2021;East Asia & Pacific;6;0;10;0
American Samoa;12;2021;East Asia & Pacific;1;0;11;0
American Samoa;1;2022;East Asia & Pacific;7;0;18;0
American Samoa;2;2022;East Asia & Pacific;66;0;84;0
American Samoa;3;2022;East Asia & Pacific;3733;4;3817;4
American Samoa;4;2022;East Asia & Pacific;2005;22;5822;26
American Samoa;5;2022;East Asia & Pacific;323;5;6145;31
American Samoa;6;2022;East Asia & Pacific;360;0;6505;31
American Samoa;7;2022;East Asia & Pacific;1261;2;7766;33
American Samoa;8;2022;East Asia & Pacific;402;1;8168;34
American Samoa;9;2022;East Asia & Pacific;82;0;8250;34
American Samoa;10;2022;East Asia & Pacific;7;0;8257;34
American Samoa;11;2022;East Asia & Pacific;0;0;8257;34
Andorra;1;2020;Europe & Central Asia;0;0;0;0
Andorra;2;2020;Europe & Central Asia;0;0;0;0
Andorra;3;2020;Europe & Central Asia;376;12;376;12
Andorra;4;2020;Europe & Central Asia;368;30;744;42
Andorra;5;2020;Europe & Central Asia;20;9;764;51
Andorra;6;2020;Europe & Central Asia;91;1;855;52
Andorra;7;2020;Europe & Central Asia;67;0;922;52
Andorra;8;2020;Europe & Central Asia;202;1;1124;53
Andorra;9;2020;Europe & Central Asia;842;0;1966;53
Andorra;10;2020;Europe & Central Asia;2699;22;4665;75
Andorra;11;2020;Europe & Central Asia;2047;1;6712;76
Andorra;12;2020;Europe & Central Asia;1271;8;7983;84
Andorra;1;2021;Europe & Central Asia;1902;17;9885;101
Andorra;2;2021;Europe & Central Asia;964;9;10849;110
Andorra;3;2021;Europe & Central Asia;1095;5;11944;115
Andorra;4;2021;Europe & Central Asia;1254;10;13198;125
Andorra;5;2021;Europe & Central Asia;495;2;13693;127
Andorra;6;2021;Europe & Central Asia;207;0;13900;127
Andorra;7;2021;Europe & Central Asia;778;1;14678;128
Andorra;8;2021;Europe & Central Asia;354;2;15032;130
Andorra;9;2021;Europe & Central Asia;177;0;15209;130
Andorra;10;2021;Europe & Central Asia;307;0;15516;130
Andorra;11;2021;Europe & Central Asia;1599;1;17115;131
Andorra;12;2021;Europe & Central Asia;6007;9;23122;140
Andorra;1;2022;Europe & Central Asia;12434;5;35556;145
Andorra;2;2022;Europe & Central Asia;2443;6;37999;151
Andorra;3;2022;Europe & Central Asia;2025;2;40024;153
Andorra;4;2022;Europe & Central Asia;1325;0;41349;153
Andorra;5;2022;Europe & Central Asia;1545;0;42894;153
Andorra;6;2022;Europe & Central Asia;880;0;43774;153
Andorra;7;2022;Europe & Central Asia;1734;0;45508;153
Andorra;8;2022;Europe & Central Asia;519;1;46027;154
Andorra;9;2022;Europe & Central Asia;200;1;46227;155
Andorra;10;2022;Europe & Central Asia;308;0;46535;155
Andorra;11;2022;Europe & Central Asia;53;0;46588;155
Angola;1;2020;Sub-Saharan Africa;0;0;0;0
Angola;2;2020;Sub-Saharan Africa;0;0;0;0
Angola;3;2020;Sub-Saharan Africa;4;0;4;0
Angola;4;2020;Sub-Saharan Africa;23;0;27;0
Angola;5;2020;Sub-Saharan Africa;57;4;84;4
Angola;6;2020;Sub-Saharan Africa;192;7;276;11
Angola;7;2020;Sub-Saharan Africa;833;40;1109;51
Angola;8;2020;Sub-Saharan Africa;1515;56;2624;107
Angola;9;2020;Sub-Saharan Africa;2281;67;4905;174
Angola;10;2020;Sub-Saharan Africa;5653;108;10558;282
Angola;11;2020;Sub-Saharan Africa;4545;64;15103;346
Angola;12;2020;Sub-Saharan Africa;2330;59;17433;405
Angola;1;2021;Sub-Saharan Africa;2349;59;19782;464
Angola;2;2021;Sub-Saharan Africa;1000;42;20782;506
Angola;3;2021;Sub-Saharan Africa;1400;30;22182;536
Angola;4;2021;Sub-Saharan Africa;4249;58;26431;594
Angola;5;2021;Sub-Saharan Africa;7935;170;34366;764
Angola;6;2021;Sub-Saharan Africa;4316;130;38682;894
Angola;7;2021;Sub-Saharan Africa;3964;114;42646;1008
Angola;8;2021;Sub-Saharan Africa;4685;202;47331;1210
Angola;9;2021;Sub-Saharan Africa;9252;327;56583;1537
Angola;10;2021;Sub-Saharan Africa;7791;171;64374;1708
Angola;11;2021;Sub-Saharan Africa;781;25;65155;1733
Angola;12;2021;Sub-Saharan Africa;11632;24;76787;1757
Angola;1;2022;Sub-Saharan Africa;21289;138;98076;1895
Angola;2;2022;Sub-Saharan Africa;625;4;98701;1899
Angola;3;2022;Sub-Saharan Africa;437;1;99138;1900
Angola;4;2022;Sub-Saharan Africa;185;0;99323;1900
Angola;5;2022;Sub-Saharan Africa;516;0;99839;1900
Angola;6;2022;Sub-Saharan Africa;1481;0;101320;1900
Angola;7;2022;Sub-Saharan Africa;1155;16;102475;1916
Angola;8;2022;Sub-Saharan Africa;617;1;103092;1917
Angola;9;2022;Sub-Saharan Africa;39;0;103131;1917
Angola;10;2022;Sub-Saharan Africa;0;0;103131;1917
Angola;11;2022;Sub-Saharan Africa;0;0;103131;1917
Anguilla;1;2020;Latin America & Caribbean;0;0;0;0
Anguilla;2;2020;Latin America & Caribbean;0;0;0;0
Anguilla;3;2020;Latin America & Caribbean;2;0;2;0
Anguilla;4;2020;Latin America & Caribbean;1;0;3;0
Anguilla;5;2020;Latin America & Caribbean;0;0;3;0
Anguilla;6;2020;Latin America & Caribbean;0;0;3;0
Anguilla;7;2020;Latin America & Caribbean;0;0;3;0
Anguilla;8;2020;Latin America & Caribbean;0;0;3;0
Anguilla;9;2020;Latin America & Caribbean;0;0;3;0
Anguilla;10;2020;Latin America & Caribbean;0;0;3;0
Anguilla;11;2020;Latin America & Caribbean;3;0;6;0
Anguilla;12;2020;Latin America & Caribbean;7;0;13;0
Anguilla;1;2021;Latin America & Caribbean;4;0;17;0
Anguilla;2;2021;Latin America & Caribbean;1;0;18;0
Anguilla;3;2021;Latin America & Caribbean;7;0;25;0
Anguilla;4;2021;Latin America & Caribbean;66;0;91;0
Anguilla;5;2021;Latin America & Caribbean;18;0;109;0
Anguilla;6;2021;Latin America & Caribbean;0;0;109;0
Anguilla;7;2021;Latin America & Caribbean;5;0;114;0
Anguilla;8;2021;Latin America & Caribbean;103;0;217;0
Anguilla;9;2021;Latin America & Caribbean;172;1;389;1
Anguilla;10;2021;Latin America & Caribbean;503;0;892;1
Anguilla;11;2021;Latin America & Caribbean;442;2;1334;3
Anguilla;12;2021;Latin America & Caribbean;340;2;1674;5
Anguilla;1;2022;Latin America & Caribbean;650;3;2324;8
Anguilla;2;2022;Latin America & Caribbean;204;1;2528;9
Anguilla;3;2022;Latin America & Caribbean;172;0;2700;9
Anguilla;4;2022;Latin America & Caribbean;88;0;2788;9
Anguilla;5;2022;Latin America & Caribbean;415;0;3203;9
Anguilla;6;2022;Latin America & Caribbean;253;0;3456;9
Anguilla;7;2022;Latin America & Caribbean;124;1;3580;10
Anguilla;8;2022;Latin America & Caribbean;257;1;3837;11
Anguilla;9;2022;Latin America & Caribbean;28;1;3865;12
Anguilla;10;2022;Latin America & Caribbean;1;0;3866;12
Anguilla;11;2022;Latin America & Caribbean;0;0;3866;12
Antigua;1;2020;Latin America & Caribbean;0;0;0;0
Antigua;2;2020;Latin America & Caribbean;0;0;0;0
Antigua;3;2020;Latin America & Caribbean;7;0;7;0
Antigua;4;2020;Latin America & Caribbean;17;3;24;3
Antigua;5;2020;Latin America & Caribbean;1;0;25;3
Antigua;6;2020;Latin America & Caribbean;40;0;65;3
Antigua;7;2020;Latin America & Caribbean;26;0;91;3
Antigua;8;2020;Latin America & Caribbean;3;0;94;3
Antigua;9;2020;Latin America & Caribbean;7;0;101;3
Antigua;10;2020;Latin America & Caribbean;26;0;127;3
Antigua;11;2020;Latin America & Caribbean;14;1;141;4
Antigua;12;2020;Latin America & Caribbean;17;1;158;5
Antigua;1;2021;Latin America & Caribbean;60;2;218;7
Antigua;2;2021;Latin America & Caribbean;508;7;726;14
Antigua;3;2021;Latin America & Caribbean;410;14;1136;28
Antigua;4;2021;Latin America & Caribbean;88;4;1232;32
Antigua;5;2021;Latin America & Caribbean;36;10;1260;42
Antigua;6;2021;Latin America & Caribbean;3;0;1263;42
Antigua;7;2021;Latin America & Caribbean;40;1;1303;43
Antigua;8;2021;Latin America & Caribbean;410;1;1713;44
Antigua;9;2021;Latin America & Caribbean;1447;32;3160;76
Antigua;10;2021;Latin America & Caribbean;880;26;4040;102
Antigua;11;2021;Latin America & Caribbean;101;15;4141;117
Antigua;12;2021;Latin America & Caribbean;154;2;4295;119
Antigua;1;2022;Latin America & Caribbean;2263;8;6558;127
Antigua;2;2022;Latin America & Caribbean;879;8;7437;135
Antigua;3;2022;Latin America & Caribbean;54;0;7491;135
Antigua;4;2022;Latin America & Caribbean;135;1;7626;136
Antigua;5;2022;Latin America & Caribbean;493;2;8119;138
Antigua;6;2022;Latin America & Caribbean;506;3;8625;141
Antigua;7;2022;Latin America & Caribbean;148;3;8773;144
Antigua;8;2022;Latin America & Caribbean;176;1;8949;145
Antigua;9;2022;Latin America & Caribbean;149;1;9098;146
Antigua;10;2022;Latin America & Caribbean;8;0;9106;146
Antigua;11;2022;Latin America & Caribbean;0;0;9106;146
Argentina;1;2020;Latin America & Caribbean;0;0;0;0
Argentina;2;2020;Latin America & Caribbean;0;0;0;0
Argentina;3;2020;Latin America & Caribbean;1516;91;1516;91
Argentina;4;2020;Latin America & Caribbean;4792;397;6308;488
Argentina;5;2020;Latin America & Caribbean;16098;818;22406;1306
Argentina;6;2020;Latin America & Caribbean;57013;2464;79419;3770
Argentina;7;2020;Latin America & Caribbean;142759;5811;222178;9581
Argentina;8;2020;Latin America & Caribbean;241296;8312;463474;17893
Argentina;9;2020;Latin America & Caribbean;339191;10415;802665;28308
Argentina;10;2020;Latin America & Caribbean;409334;10394;1211999;38702
Argentina;11;2020;Latin America & Caribbean;257432;5530;1469431;44232
Argentina;12;2020;Latin America & Caribbean;204888;4039;1674319;48271
Argentina;1;2021;Latin America & Caribbean;319233;5445;1993552;53716
Argentina;2;2021;Latin America & Caribbean;189401;3511;2182953;57227
Argentina;3;2021;Latin America & Caribbean;265418;4941;2448371;62168
Argentina;4;2021;Latin America & Caribbean;649167;12832;3097538;75000
Argentina;5;2021;Latin America & Caribbean;811082;16997;3908620;91997
Argentina;6;2021;Latin America & Caribbean;659487;12821;4568107;104818
Argentina;7;2021;Latin America & Caribbean;443138;7212;5011245;112030
Argentina;8;2021;Latin America & Caribbean;246193;3505;5257438;115535
Argentina;9;2021;Latin America & Caribbean;67688;964;5325126;116499
Argentina;10;2021;Latin America & Caribbean;34100;324;5359226;116823
Argentina;11;2021;Latin America & Caribbean;44472;379;5403698;117202
Argentina;12;2021;Latin America & Caribbean;376824;974;5780522;118176
Argentina;1;2022;Latin America & Caribbean;2672438;7656;8452960;125832
Argentina;2;2022;Latin America & Caribbean;449982;2206;8902942;128038
Argentina;3;2022;Latin America & Caribbean;125579;283;9028521;128321
Argentina;4;2022;Latin America & Caribbean;43709;221;9072230;128542
Argentina;5;2022;Latin America & Caribbean;158343;347;9230573;128889
Argentina;6;2022;Latin America & Caribbean;136599;181;9367172;129070
Argentina;7;2022;Latin America & Caribbean;193135;299;9560307;129369
Argentina;8;2022;Latin America & Caribbean;117918;342;9678225;129711
Argentina;9;2022;Latin America & Caribbean;30195;186;9708420;129897
Argentina;10;2022;Latin America & Caribbean;10455;94;9718875;129991
Argentina;11;2022;Latin America & Caribbean;0;0;9718875;129991
Armenia;1;2020;Europe & Central Asia;0;0;0;0
Armenia;2;2020;Europe & Central Asia;0;0;0;0
Armenia;3;2020;Europe & Central Asia;532;3;532;3
Armenia;4;2020;Europe & Central Asia;1534;29;2066;32
Armenia;5;2020;Europe & Central Asia;7216;99;9282;131
Armenia;6;2020;Europe & Central Asia;16260;312;25542;443
Armenia;7;2020;Europe & Central Asia;13008;295;38550;738
Armenia;8;2020;Europe & Central Asia;5231;141;43781;879
Armenia;9;2020;Europe & Central Asia;6578;80;50359;959
Armenia;10;2020;Europe & Central Asia;39454;382;89813;1341
Armenia;11;2020;Europe & Central Asia;45311;823;135124;2164
Armenia;12;2020;Europe & Central Asia;24285;659;159409;2823
Armenia;1;2021;Europe & Central Asia;7617;257;167026;3080
Armenia;2;2021;Europe & Central Asia;5032;112;172058;3192
Armenia;3;2021;Europe & Central Asia;20581;323;192639;3515
Armenia;4;2021;Europe & Central Asia;23425;593;216064;4108
Armenia;5;2021;Europe & Central Asia;6606;330;222670;4438
Armenia;6;2021;Europe & Central Asia;2425;76;225095;4514
Armenia;7;2021;Europe & Central Asia;5015;100;230110;4614
Armenia;8;2021;Europe & Central Asia;12025;230;242135;4844
Armenia;9;2021;Europe & Central Asia;19562;475;261697;5319
Armenia;10;2021;Europe & Central Asia;46629;1009;308326;6328
Armenia;11;2021;Europe & Central Asia;30192;1239;338518;7567
Armenia;12;2021;Europe & Central Asia;6412;405;344930;7972
Armenia;1;2022;Europe & Central Asia;22865;81;367795;8053
Armenia;2;2022;Europe & Central Asia;52037;408;419832;8461
Armenia;3;2022;Europe & Central Asia;2687;152;422519;8613
Armenia;4;2022;Europe & Central Asia;348;9;422867;8622
Armenia;5;2022;Europe & Central Asia;96;3;422963;8625
Armenia;6;2022;Europe & Central Asia;280;1;423243;8626
Armenia;7;2022;Europe & Central Asia;2122;7;425365;8633
Armenia;8;2022;Europe & Central Asia;9033;22;434398;8655
Armenia;9;2022;Europe & Central Asia;8477;28;442875;8683
Armenia;10;2022;Europe & Central Asia;2367;26;445242;8709
Armenia;11;2022;Europe & Central Asia;155;0;445397;8709
Aruba;1;2020;Latin America & Caribbean;0;0;0;0
Aruba;2;2020;Latin America & Caribbean;0;0;0;0
Aruba;3;2020;Latin America & Caribbean;50;0;50;0
Aruba;4;2020;Latin America & Caribbean;50;2;100;2
Aruba;5;2020;Latin America & Caribbean;1;1;101;3
Aruba;6;2020;Latin America & Caribbean;0;0;101;3
Aruba;7;2020;Latin America & Caribbean;18;0;119;3
Aruba;8;2020;Latin America & Caribbean;1729;5;1848;8
Aruba;9;2020;Latin America & Caribbean;2024;17;3872;25
Aruba;10;2020;Latin America & Caribbean;600;12;4472;37
Aruba;11;2020;Latin America & Caribbean;319;8;4791;45
Aruba;12;2020;Latin America & Caribbean;582;4;5373;49
Aruba;1;2021;Latin America & Caribbean;1485;9;6858;58
Aruba;2;2021;Latin America & Caribbean;946;13;7804;71
Aruba;3;2021;Latin America & Caribbean;1490;11;9294;82
Aruba;4;2021;Latin America & Caribbean;1291;16;10585;98
Aruba;5;2021;Latin America & Caribbean;372;9;10957;107
Aruba;6;2021;Latin America & Caribbean;175;0;11132;107
Aruba;7;2021;Latin America & Caribbean;452;2;11584;109
Aruba;8;2021;Latin America & Caribbean;2881;28;14465;137
Aruba;9;2021;Latin America & Caribbean;983;29;15448;166
Aruba;10;2021;Latin America & Caribbean;434;5;15882;171
Aruba;11;2021;Latin America & Caribbean;442;3;16324;174
Aruba;12;2021;Latin America & Caribbean;2697;7;19021;181
Aruba;1;2022;Latin America & Caribbean;13697;12;32718;193
Aruba;2;2022;Latin America & Caribbean;937;18;33655;211
Aruba;3;2022;Latin America & Caribbean;311;1;33966;212
Aruba;4;2022;Latin America & Caribbean;727;0;34693;212
Aruba;5;2022;Latin America & Caribbean;1871;1;36564;213
Aruba;6;2022;Latin America & Caribbean;4154;8;40718;221
Aruba;7;2022;Latin America & Caribbean;1362;3;42080;224
Aruba;8;2022;Latin America & Caribbean;768;3;42848;227
Aruba;9;2022;Latin America & Caribbean;297;3;43145;230
Aruba;10;2022;Latin America & Caribbean;189;2;43334;232
Aruba;11;2022;Latin America & Caribbean;45;1;43379;233
Australia;1;2020;East Asia & Pacific;9;0;9;0
Australia;2;2020;East Asia & Pacific;16;0;25;0
Australia;3;2020;East Asia & Pacific;4334;18;4359;18
Australia;4;2020;East Asia & Pacific;2387;72;6746;90
Australia;5;2020;East Asia & Pacific;439;12;7185;102
Australia;6;2020;East Asia & Pacific;582;2;7767;104
Australia;7;2020;East Asia & Pacific;8536;85;16303;189
Australia;8;2020;East Asia & Pacific;9367;422;25670;611
Australia;9;2020;East Asia & Pacific;1393;271;27063;882
Australia;10;2020;East Asia & Pacific;519;25;27582;907
Australia;11;2020;East Asia & Pacific;311;0;27893;907
Australia;12;2020;East Asia & Pacific;488;2;28381;909
Australia;1;2021;East Asia & Pacific;425;0;28806;909
Australia;2;2021;East Asia & Pacific;159;0;28965;909
Australia;3;2021;East Asia & Pacific;331;0;29296;909
Australia;4;2021;East Asia & Pacific;483;1;29779;910
Australia;5;2021;East Asia & Pacific;319;0;30098;910
Australia;6;2021;East Asia & Pacific;464;0;30562;910
Australia;7;2021;East Asia & Pacific;3347;13;33909;923
Australia;8;2021;East Asia & Pacific;18685;79;52594;1002
Australia;9;2021;East Asia & Pacific;50110;276;102704;1278
Australia;10;2021;East Asia & Pacific;66533;444;169237;1722
Australia;11;2021;East Asia & Pacific;39896;275;209133;1997
Australia;12;2021;East Asia & Pacific;153425;229;362558;2226
Australia;1;2022;East Asia & Pacific;1789613;1490;2152171;3716
Australia;2;2022;East Asia & Pacific;674553;1443;2826724;5159
Australia;3;2022;East Asia & Pacific;1440489;803;4267213;5962
Australia;4;2022;East Asia & Pacific;1435404;1227;5702617;7189
Australia;5;2022;East Asia & Pacific;1535448;1280;7238065;8469
Australia;6;2022;East Asia & Pacific;855885;1368;8093950;9837
Australia;7;2022;East Asia & Pacific;1232694;1832;9326644;11669
Australia;8;2022;East Asia & Pacific;691258;2165;10017902;13834
Australia;9;2022;East Asia & Pacific;248105;1019;10266007;14853
Australia;10;2022;East Asia & Pacific;98852;0;10364859;14853
Australia;11;2022;East Asia & Pacific;0;0;10364859;14853
Austria;1;2020;Europe & Central Asia;0;0;0;0
Austria;2;2020;Europe & Central Asia;3;0;3;0
Austria;3;2020;Europe & Central Asia;6098;90;6101;90
Austria;4;2020;Europe & Central Asia;6095;469;12196;559
Austria;5;2020;Europe & Central Asia;1201;100;13397;659
Austria;6;2020;Europe & Central Asia;1018;66;14415;725
Austria;7;2020;Europe & Central Asia;3243;36;17658;761
Austria;8;2020;Europe & Central Asia;6259;52;23917;813
Austria;9;2020;Europe & Central Asia;17100;90;41017;903
Austria;10;2020;Europe & Central Asia;57227;434;98244;1337
Austria;11;2020;Europe & Central Asia;176995;2649;275239;3986
Austria;12;2020;Europe & Central Asia;77469;3398;352708;7384
Austria;1;2021;Europe & Central Asia;52904;1899;405612;9283
Austria;2;2021;Europe & Central Asia;43045;1033;448657;10316
Austria;3;2021;Europe & Central Asia;84267;965;532924;11281
Austria;4;2021;Europe & Central Asia;73835;1014;606759;12295
Austria;5;2021;Europe & Central Asia;27915;504;634674;12799
Austria;6;2021;Europe & Central Asia;6213;145;640887;12944
Austria;7;2021;Europe & Central Asia;8308;65;649195;13009
Austria;8;2021;Europe & Central Asia;28374;92;677569;13101
Austria;9;2021;Europe & Central Asia;55074;279;732643;13380
Austria;10;2021;Europe & Central Asia;84488;440;817131;13820
Austria;11;2021;Europe & Central Asia;325114;1464;1142245;15284
Austria;12;2021;Europe & Central Asia;122463;1404;1264708;16688
Austria;1;2022;Europe & Central Asia;564227;394;1828935;17082
Austria;2;2022;Europe & Central Asia;833801;715;2662736;17797
Austria;3;2022;Europe & Central Asia;1161122;1029;3823858;18826
Austria;4;2022;Europe & Central Asia;327567;766;4151425;19592
Austria;5;2022;Europe & Central Asia;115842;208;4267267;19800
Austria;6;2022;Europe & Central Asia;168004;125;4435271;19925
Austria;7;2022;Europe & Central Asia;330793;316;4766064;20241
Austria;8;2022;Europe & Central Asia;167776;279;4933840;20520
Austria;9;2022;Europe & Central Asia;181103;152;5114943;20672
Austria;10;2022;Europe & Central Asia;321711;331;5436654;21003
Austria;11;2022;Europe & Central Asia;29596;34;5466250;21037
Azerbaijan;1;2020;Europe & Central Asia;0;0;0;0
Azerbaijan;2;2020;Europe & Central Asia;1;0;1;0
Azerbaijan;3;2020;Europe & Central Asia;189;4;190;4
Azerbaijan;4;2020;Europe & Central Asia;1527;18;1717;22
Azerbaijan;5;2020;Europe & Central Asia;3272;36;4989;58
Azerbaijan;6;2020;Europe & Central Asia;11435;140;16424;198
Azerbaijan;7;2020;Europe & Central Asia;14797;240;31221;438
